"ID";"Perioden";"TotaalLevendGeborenKinderen_1";"LevendGeborenKinderenRelatief_2";"AlgemeenVruchtbaarheidscijfer_3";"TotaalLevendGeborenKinderen_4";"Jongens_5";"Meisjes_6";"JongensPer1000Meisjes_7";"TotaalLevendGeborenKinderen_8";"JongerDan20Jaar_9";"k_20Tot25Jaar_10";"k_25Tot30Jaar_11";"k_30Tot35Jaar_12";"k_35Tot40Jaar_13";"k_40Tot45Jaar_14";"k_45JaarOfOuder_15";"TotaalLevendGeborenKinderen_16";"k_1eKind_17";"k_2eKind_18";"k_3eKind_19";"k_4eOfVolgendeKinderen_20";"TotaalLevendGeborenKinderen_21";"MoederGehuwd_22";"MoederNietGehuwd_23";"TotaalLevendGeborenKinderen_24";"PersoonMetEenNederlandseAchtergrond_25";"PersoonMetEenMigratieachtergrond_26";"PersoonMetEenWesterseMigratieacht_27";"PersoonMetEenNietWesterseMigrati_28";"DoodgeborenKinderen24OfMeerWeken_29";"DoodgeborenKinderen24Relatief_30";"DoodgeborenKinderen28OfMeerWeken_31";"DoodgeborenKinderen28Relatief_32";"TotaalGeboorten_33";"EnkelvoudigeGeboorten_34";"TotaalMeervoudigeGeboorten_35";"TotaalTweelinggeboorten_36";"k_2Jongens_37";"k_1JongenEn1Meisje_38";"k_2Meisjes_39";"DrieOfMeervoudigeGeboorten_40";"GemiddeldKindertalPerVrouw_41";"GemiddeldAantal1eKinderenPerVrouw_42";"GemiddeldAantal2eKinderenPerVrouw_43";"GemiddeldAantal3eKinderenPerVrouw_44";"GemiddeldAantal4eOfVolgendeKind_45";"GemiddeldKindertalPerMan_46";"GemiddeldAantal1eKinderenPerMan_47";"TotaalAlleKinderen_48";"Bij1eKind_49";"Bij2eKind_50";"Bij3eKind_51";"Bij4eOfVolgendeKind_52";"TotaalAlleKinderen_53";"Bij1eKindVanDeMoeder_54";"NettoVervangingsfactor_55"
"20";"1970JJ00";"  238912";"    18.3";"    77.0";"  238912";"  122330";"  116582";"    1049";"  238912";"    9239";"   73386";"   83294";"   45763";"   20249";"    6360";"     621";"  238912";"   93167";"   80091";"   36879";"   28775";"  238912";"  233944";"    4968";"  238912";"       .";"       .";"       .";"       .";"       .";"       .";"    2588";"    10.7";"  239099";"  236716";"    2383";"    2365";"     786";"     765";"     814";"      18";"   2.572";"   0.905";"   0.863";"   0.438";"   0.366";"       .";"       .";"    27.4";"    24.3";"    27.2";"    30.3";"    34.4";"       .";"       .";"    1.22"
"21";"1971JJ00";"  227180";"    17.2";"    72.3";"  227180";"  116634";"  110546";"    1055";"  227180";"    9229";"   67100";"   86584";"   41301";"   17096";"    5369";"     501";"  227180";"   91766";"   77838";"   33441";"   24135";"  227180";"  222708";"    4472";"  227180";"       .";"       .";"       .";"       .";"       .";"       .";"    2336";"    10.2";"  227165";"  224838";"    2327";"    2303";"     858";"     670";"     775";"      24";"   2.362";"   0.870";"   0.806";"   0.384";"   0.301";"       .";"       .";"    27.2";"    24.3";"    27.1";"    30.1";"    34.2";"       .";"       .";"    1.12"
"22";"1972JJ00";"  214133";"    16.1";"    67.2";"  214133";"  109474";"  104659";"    1046";"  214133";"    8285";"   61886";"   88469";"   36936";"   14017";"    4228";"     312";"  214133";"   90338";"   76593";"   28500";"   18702";"  214133";"  210056";"    4077";"  214133";"       .";"       .";"       .";"       .";"       .";"       .";"    1993";"     9.2";"  213868";"  211631";"    2237";"    2218";"     770";"     676";"     772";"      19";"   2.151";"   0.842";"   0.763";"   0.317";"   0.229";"       .";"       .";"    27.0";"    24.5";"    27.1";"    30.0";"    34.1";"       .";"       .";"    1.03"
"23";"1973JJ00";"  194993";"    14.5";"    60.5";"  194993";"   99729";"   95264";"    1047";"  194993";"    7233";"   54890";"   85068";"   32618";"   11641";"    3269";"     274";"  194993";"   84363";"   72954";"   23310";"   14366";"  194993";"  191304";"    3689";"  194993";"       .";"       .";"       .";"       .";"       .";"       .";"    1782";"     9.1";"  194721";"  192691";"    2030";"    2006";"     697";"     616";"     693";"      24";"   1.904";"   0.778";"   0.704";"   0.250";"   0.172";"       .";"       .";"    26.9";"    24.7";"    27.1";"    30.0";"    34.1";"       .";"       .";"    0.91"
"24";"1974JJ00";"  185982";"    13.7";"    56.9";"  185982";"   95430";"   90552";"    1054";"  185982";"    6383";"   51833";"   83903";"   31211";"    9773";"    2663";"     216";"  185982";"   81122";"   72589";"   20948";"   11323";"  185982";"  182296";"    3686";"  185982";"       .";"       .";"       .";"       .";"       .";"       .";"    1651";"     8.8";"  185777";"  183949";"    1828";"    1802";"     661";"     526";"     615";"      26";"   1.773";"   0.741";"   0.682";"   0.217";"   0.132";"       .";"       .";"    26.9";"    24.8";"    27.2";"    30.0";"    34.0";"       .";"       .";"    0.84"
"25";"1975JJ00";"  177876";"    13.0";"    53.6";"  177876";"   91090";"   86786";"    1050";"  177876";"    5384";"   47863";"   83429";"   29948";"    8885";"    2160";"     207";"  177876";"   77995";"   70411";"   19457";"   10013";"  177876";"  174056";"    3820";"  177876";"       .";"       .";"       .";"       .";"       .";"       .";"    1374";"     7.7";"  177476";"  175733";"    1743";"    1715";"     566";"     514";"     635";"      28";"   1.664";"   0.707";"   0.650";"   0.194";"   0.113";"       .";"       .";"    26.9";"    25.0";"    27.3";"    29.9";"    33.7";"       .";"       .";"    0.79"
"26";"1976JJ00";"  177090";"    12.9";"    52.5";"  177090";"   91128";"   85962";"    1060";"  177090";"    4861";"   46846";"   81024";"   33953";"    8237";"    1990";"     179";"  177090";"   76465";"   70789";"   20136";"    9700";"  177090";"  172735";"    4355";"  177090";"       .";"       .";"       .";"       .";"       .";"       .";"    1436";"     8.0";"  176636";"  174780";"    1856";"    1827";"     625";"     502";"     700";"      29";"   1.632";"   0.689";"   0.644";"   0.194";"   0.105";"       .";"       .";"    27.0";"    25.1";"    27.4";"    29.8";"    33.4";"       .";"       .";"    0.78"
"27";"1977JJ00";"  173296";"    12.5";"    50.6";"  173296";"   88954";"   84342";"    1055";"  173296";"    4375";"   43524";"   78639";"   36809";"    7994";"    1784";"     171";"  173296";"   74026";"   69289";"   20475";"    9506";"  173296";"  168549";"    4747";"  173296";"       .";"       .";"       .";"       .";"       .";"       .";"    1317";"     7.5";"  172755";"  170930";"    1825";"    1796";"     651";"     505";"     640";"      29";"   1.579";"   0.662";"   0.625";"   0.191";"   0.100";"       .";"       .";"    27.2";"    25.3";"    27.5";"    29.8";"    33.4";"       .";"       .";"    0.75"
"28";"1978JJ00";"  175550";"    12.6";"    50.5";"  175550";"   89964";"   85586";"    1051";"  175550";"    4256";"   42629";"   79314";"   39436";"    8146";"    1599";"     170";"  175550";"   74971";"   69222";"   21923";"    9434";"  175550";"  170191";"    5359";"  175550";"       .";"       .";"       .";"       .";"       .";"       .";"    1259";"     7.1";"  175006";"  173233";"    1773";"    1744";"     613";"     514";"     617";"      29";"   1.583";"   0.666";"   0.620";"   0.201";"   0.096";"       .";"       .";"    27.3";"    25.4";"    27.7";"    29.9";"    33.2";"       .";"       .";"    0.76"
"29";"1979JJ00";"  174979";"    12.5";"    49.5";"  174979";"   89625";"   85354";"    1050";"  174979";"    4088";"   41100";"   78939";"   40590";"    8565";"    1546";"     151";"  174979";"   75894";"   66510";"   22753";"    9822";"  174979";"  168976";"    6003";"  174979";"       .";"       .";"       .";"       .";"       .";"       .";"    1240";"     7.0";"  174345";"  172492";"    1853";"    1832";"     655";"     545";"     632";"      21";"   1.563";"   0.668";"   0.592";"   0.206";"   0.097";"       .";"       .";"    27.4";"    25.5";"    27.8";"    29.9";"    33.0";"       .";"       .";"    0.75"
